Date,JPYtoGBP
01-01-14,0.5961
12-01-13,0.5733
11-01-13,0.5964
10-01-13,0.63375
09-01-13,0.62895
08-01-13,0.65685
07-01-13,0.6718
06-01-13,0.6631
05-01-13,0.65475
04-01-13,0.6608
03-01-13,0.6979
02-01-13,0.7121
01-01-13,0.6888
12-01-12,0.7099
11-01-12,0.75695
10-01-12,0.7768
09-01-12,0.79385
08-01-12,0.804
07-01-12,0.8166
06-01-12,0.7977
05-01-12,0.8284
04-01-12,0.7721
03-01-12,0.7541
02-01-12,0.77415
01-01-12,0.8324
12-01-11,0.83625
11-01-11,0.8216
10-01-11,0.7947
09-01-11,0.8326
08-01-11,0.8031
07-01-11,0.7934
06-01-11,0.77385
05-01-11,0.7455
04-01-11,0.737
03-01-11,0.74995
02-01-11,0.75215
01-01-11,0.76065
12-01-10,0.7892
11-01-10,0.76835
10-01-10,0.77545
09-01-10,0.7625
08-01-10,0.77395
07-01-10,0.7373
06-01-10,0.7567
05-01-10,0.754
04-01-10,0.6979
03-01-10,0.70455
02-01-10,0.73775
01-01-10,0.69215
12-01-09,0.6658
11-01-09,0.7037
10-01-09,0.67475
09-01-09,0.6963
08-01-09,0.6601
07-01-09,0.6317
06-01-09,0.63065
05-01-09,0.6482
04-01-09,0.68595
03-01-09,0.70655
02-01-09,0.71655
01-01-09,0.7658
12-01-08,0.75565
11-01-08,0.6803
10-01-08,0.63195
09-01-08,0.529
08-01-08,0.5046
07-01-08,0.4675
06-01-08,0.473
05-01-08,0.47805
04-01-08,0.4845
03-01-08,0.50515
02-01-08,0.48465
01-01-08,0.4729
12-01-07,0.45205
11-01-07,0.4371
10-01-07,0.41655
09-01-07,0.42555
08-01-07,0.4283
07-01-07,0.41605
06-01-07,0.40445
05-01-07,0.4148
04-01-07,0.4187
03-01-07,0.43135
02-01-07,0.4298
01-01-07,0.42185
12-01-06,0.4288
11-01-06,0.4394
10-01-06,0.4483
09-01-06,0.45195
08-01-06,0.44755
07-01-06,0.4669
06-01-06,0.4729
05-01-06,0.475
04-01-06,0.48115
03-01-06,0.4889
02-01-06,0.49245
01-01-06,0.4795
12-01-05,0.49245
11-01-05,0.4825
10-01-05,0.4853
09-01-05,0.4995
08-01-05,0.5012
07-01-05,0.5059
06-01-05,0.5036
05-01-05,0.5069
04-01-05,0.5006
03-01-05,0.494
02-01-05,0.4975
01-01-05,0.51215
12-01-04,0.5089
11-01-04,0.5085
10-01-04,0.5143
09-01-04,0.5016
08-01-04,0.50835
07-01-04,0.4929
06-01-04,0.5049
05-01-04,0.4984
04-01-04,0.5091
03-01-04,0.51935
02-01-04,0.4908
