Date,USDtoGBP
2007-05-01,0.505
2007-04-01,0.5002
2007-03-01,0.5081
2007-02-01,0.5091
2007-01-01,0.5091
2006-12-01,0.5106
2006-11-01,0.5088
2006-10-01,0.5242
2006-09-01,0.5342
2006-08-01,0.5251
2006-07-01,0.5354
2006-06-01,0.5412
2006-05-01,0.5347
2006-04-01,0.5475
2006-03-01,0.5753
2006-02-01,0.5702
2006-01-01,0.5622
2005-12-01,0.5809
2005-11-01,0.5782
2005-10-01,0.5649
2005-09-01,0.5669
2005-08-01,0.5544
2005-07-01,0.5692
2005-06-01,0.5583
2005-05-01,0.5502
2005-04-01,0.524
2005-03-01,0.5291
2005-02-01,0.5202
2005-01-01,0.531
2004-12-01,0.5212
2004-11-01,0.5233
2004-10-01,0.544
2004-09-01,0.5519
2004-08-01,0.5548
2004-07-01,0.5494
2004-06-01,0.5496
2004-05-01,0.5458
2004-04-01,0.562
2004-03-01,0.5417
2004-02-01,0.5353
2004-01-01,0.5482
2003-12-01,0.56
2003-11-01,0.5805
2003-10-01,0.5899
2003-09-01,0.6018
2003-08-01,0.6339
2003-07-01,0.6211
2003-06-01,0.6042
2003-05-01,0.6111
2003-04-01,0.6256
2003-03-01,0.6316
2003-02-01,0.6355
2003-01-01,0.6069
2002-12-01,0.6202
2002-11-01,0.6422
2002-10-01,0.6391
2002-09-01,0.6375
2002-08-01,0.6452
2002-07-01,0.6395
2002-06-01,0.6521
2002-05-01,0.6877
2002-04-01,0.6861
2002-03-01,0.7014
2002-02-01,0.7063
2002-01-01,0.7089
2001-12-01,0.6875
2001-11-01,0.7022
2001-10-01,0.6875
2001-09-01,0.6782
2001-08-01,0.6878
2001-07-01,0.7018
2001-06-01,0.7063
2001-05-01,0.705
2001-04-01,0.6982
2001-03-01,0.7063
2001-02-01,0.6921
