Date,EURtoGBP
05-01-13,0.8549
04-01-13,0.8475
03-01-13,0.8427
02-01-13,0.8614
01-01-13,0.8561
12-01-12,0.8127
11-01-12,0.8117
10-01-12,0.8032
09-01-12,0.795
08-01-12,0.7926
07-01-12,0.7847
06-01-12,0.8056
05-01-12,0.8021
04-01-12,0.8156
03-01-12,0.8331
02-01-12,0.8371
01-01-12,0.8297
12-01-11,0.8328
11-01-11,0.8563
10-01-11,0.861
09-01-11,0.8587
08-01-11,0.8844
07-01-11,0.8765
06-01-11,0.9037
05-01-11,0.8749
04-01-11,0.8858
03-01-11,0.8833
02-01-11,0.8489
01-01-11,0.8547
12-01-10,0.8575
11-01-10,0.8346
10-01-10,0.8697
09-01-10,0.8677
08-01-10,0.8266
07-01-10,0.8319
06-01-10,0.8185
05-01-10,0.8463
04-01-10,0.8709
03-01-10,0.89
02-01-10,0.8934
01-01-10,0.8665
12-01-09,0.8862
11-01-09,0.9123
10-01-09,0.8951
09-01-09,0.9143
08-01-09,0.8799
07-01-09,0.8522
06-01-09,0.8521
05-01-09,0.8746
04-01-09,0.894
03-01-09,0.9251
02-01-09,0.8854
01-01-09,0.8811
12-01-08,0.9557
11-01-08,0.8249
10-01-08,0.7923
09-01-08,0.7919
08-01-08,0.8056
07-01-08,0.7864
06-01-08,0.7905
05-01-08,0.7846
04-01-08,0.7862
03-01-08,0.7955
02-01-08,0.7641
01-01-08,0.7478
12-01-07,0.7351
11-01-07,0.7113
10-01-07,0.6957
09-01-07,0.6972
08-01-07,0.6763
07-01-07,0.6738
06-01-07,0.6741
05-01-07,0.6793
04-01-07,0.6825
03-01-07,0.6787
02-01-07,0.674
01-01-07,0.6636
12-01-06,0.674
11-01-06,0.6738
10-01-06,0.669
09-01-06,0.6768
08-01-06,0.6724
07-01-06,0.6835
06-01-06,0.6922
05-01-06,0.6849
04-01-06,0.6917
03-01-06,0.6973
02-01-06,0.6796
01-01-06,0.6833
12-01-05,0.688
11-01-05,0.6815
10-01-05,0.6771
09-01-05,0.682
08-01-05,0.6845
07-01-05,0.6903
06-01-05,0.6754
05-01-05,0.6772
04-01-05,0.6745
03-01-05,0.6859
02-01-05,0.6887
01-01-05,0.6919
12-01-04,0.707
11-01-04,0.6956
10-01-04,0.6956
09-01-04,0.6863
08-01-04,0.6764
07-01-04,0.6603
06-01-04,0.67
05-01-04,0.6653
04-01-04,0.6734
03-01-04,0.667
02-01-04,0.6687
01-01-04,0.6838
12-01-03,0.7049
11-01-03,0.6963
10-01-03,0.6835
09-01-03,0.7017
08-01-03,0.6961
