,FTSE100_Price,SNP500_Price_GBP,EURO50_Price_GBP,Nikkei_Price_GBP
2010-06-01,1.0133050031840505,1.09926821021177,1.0199631205689186,1.2173621310422142
2010-07-01,1.0836117230762254,1.1195652017957807,1.1046704533940832,1.2057039348675789
2010-08-01,1.076852056031045,1.0896642484109322,1.0499228866181625,1.1709877656075565
2010-09-01,1.1435007243972457,1.1576278360381482,1.1546291335455403,1.224955497976772
2010-10-01,1.1695790252477685,1.1758103165413698,1.1981803809296914,1.2235684423199895
2010-11-01,1.139306845605495,1.209726333288855,1.0714168193435716,1.3091431395591104
2010-12-01,1.2159033532482466,1.2849258764523044,1.1597090986160685,1.3841649863086523
2011-01-01,1.208278119081427,1.2795998949735066,1.2224800608143438,1.335265419302115
2011-02-01,1.2352899958988606,1.3012380787038698,1.2386272420721927,1.3701471178783782
2011-03-01,1.2177210442036885,1.3182538054168993,1.2451136617705558,1.254397083978619
2011-04-01,1.2509299694372369,1.3012746817440581,1.291678642819395,1.2446958890375577
2011-05-01,1.234461524511006,1.3034453568102937,1.212517166773964,1.2391091600555557
2011-06-01,1.2253359740000123,1.3118202153043113,1.2465711450037409,1.30246577197914
2011-07-01,1.1984374452580315,1.2544535744797736,1.1334316888523466,1.3376748470150217
2011-08-01,1.111744715403591,1.1954452171575796,0.985918771702729,1.23315002494048
2011-09-01,1.0569151599959605,1.1572463099241268,0.9063630810856708,1.242055882373955
2011-10-01,1.142593939793624,1.241371207914674,0.994497243157272,1.2247744598971118
2011-11-01,1.134597748288959,1.26654123429724,0.9663489882396686,1.1882188495664179
2011-12-01,1.148376752515812,1.2901385574926787,0.9342312379856409,1.2123798810173732
2012-01-01,1.170908289041714,1.3277354913822639,0.970976309300245,1.2563469773754579
2012-02-01,1.2100442881843905,1.3675064322350348,1.0183287006248007,1.2906459541352746
2012-03-01,1.1888049197186494,1.4020549036037573,0.9994112199846243,1.3038085604594511
2012-04-01,1.1824842188565856,1.3727836309163688,0.9109393972692764,1.2604397780980934
2012-05-01,1.0965622559152237,1.3558998887720333,0.8230366324123611,1.213410562696011
2012-06-01,1.148143873742609,1.3822435081016908,0.8834987976716577,1.2319133097011743
2012-07-01,1.1613602593403964,1.4026735683165614,0.8837574137582828,1.217455116923534
2012-08-01,1.1770641199758465,1.4131696016852702,0.9367899833733845,1.2186384950958924
2012-09-01,1.1833683338451169,1.4205565766464634,0.9448430823679332,1.2073714535297484
2012-10-01,1.1917416653099244,1.3956069337253811,0.9737950692962151,1.1891824893793317
2012-11-01,1.2090777382318936,1.4090423538305574,1.0122480100571485,1.225989060237674
2012-12-01,1.2154643870651298,1.400120426552955,1.0373758239268587,1.2653194695352172
2013-01-01,1.2935859415412452,1.505813442785351,1.120570845951591,1.315518883856483
2013-02-01,1.3108828578553307,1.5918021943650131,1.098546451271025,1.4113859043523507
2013-03-01,1.3213788896422527,1.644823611129046,1.0708092759914638,1.483585835496884
2013-04-01,1.3251667762364727,1.6394449410405687,1.1130159344427815,1.5704756672836602
2013-05-01,1.3566919673310236,1.710327318223101,1.1465965474924829,1.5464063066767824
2013-06-01,1.280930113698424,1.6831993958585316,1.077565954178231,1.555073914751968
2013-07-01,1.36451710628546,1.7669380329341273,1.1721191425094,1.5744400837126113
2013-08-01,1.3216241336600505,1.6783754945834355,1.1233187907796678,1.5079286935011629
2013-09-01,1.3317821820947136,1.655845255227292,1.1705484521486642,1.5589394706264144
2013-10-01,1.3872629737176725,1.7451022310477633,1.2576136129760502,1.5569430496533434
2013-11-01,1.370598745752023,1.758672808197678,1.2407617129061772,1.6015933252194403
2013-12-01,1.3909024773767544,1.7795338947181143,1.249599389298546,1.6014336509438447
2014-01-01,1.3417197170007684,1.728689497972405,1.1972426668692961,1.5244026477898254
2014-02-01,1.4033934352916444,1.770014609331894,1.2567713853023907,1.4924652587871208
2014-03-01,1.3598409829545102,1.7912393333464058,1.2650761421574952,1.47765893581197
2014-04-01,1.397278821839495,1.7798208682923453,1.272517722085827,1.4208079232052977
