,iShares_World_Close,iShares_SNP500_Close,Vanguard_Global_Bond_Close
2023-11-01,1.956452208143683,2.2254040568391367,1.0174060708978985
2023-12-01,2.0487144790257106,2.3421195357414035,1.0515106488360575
2024-01-01,2.0927543363267316,2.391148714611129,1.0483973678624494
2024-02-01,2.172714971091155,2.488122356003905,1.0383499610839877
2024-03-01,2.249969245909706,2.576201323353943,1.0476190476190474
2024-04-01,2.1900602780169764,2.493979824275952,1.0280902851482345
2024-05-01,2.2445565260179605,2.5566764291137867,1.037430128069058
2024-06-01,2.334358469676467,2.70126911812561,1.045496356046133
2024-07-01,2.3493664657399433,2.7172144484217378,1.066935540932569
2024-08-01,2.3779062615327837,2.7508406551686733,1.0781858062690157
2024-09-01,2.416041333497355,2.8190693133745524,1.0911342248637939
2024-10-01,2.409152417271497,2.8170083523158693,1.0732328592655487
2024-11-01,2.5218354041087463,2.9686516975810826,1.0873841364183117
2024-12-01,2.4854225612006395,2.9191886321726868,1.0745064742092973
