,FTSE100_Price,SNP500_Price_GBP,EURO50_Price_GBP,Nikkei_Price_GBP
2007-11-01,6432.45,720.25893,3126.127935,6854.0208569999995
2007-12-01,6456.91,739.9267600000001,3234.234172,6919.8819490000005
2008-01-01,5879.78,693.3855,2836.2558400000003,6427.879062999999
2008-02-01,5884.28,669.69098,2845.89045,6592.703643000001
2008-03-01,5702.11,666.90534,2886.12173,6327.276531
2008-04-01,6087.3,697.3724799999999,3007.230724,6710.320154999999
2008-05-01,6053.5,706.36176,2964.1011099999996,6854.539047
2008-06-01,5625.9,642.3040000000001,2650.3963049999998,6376.6927399999995
2008-07-01,5411.9,638.89634,2648.453648,6253.658675
2008-08-01,5636.61,704.38548,2711.351528,6596.570202000001
2008-09-01,4902.45,654.23376,2405.95058,5956.465940000001
2008-10-01,4377.34,602.88424,2053.4514480000003,5420.222511
2008-11-01,4288.01,582.44038,2004.7627189999998,5790.8972810000005
2008-12-01,4434.17,618.0597600000001,2342.879436,6694.726514
2009-01-01,4149.64,568.96251,1971.003078,6121.84349
2009-02-01,3830.09,513.68788,1749.754042,5423.151351
2009-03-01,3926.14,557.09378,1916.002363,5729.7884214999995
2009-04-01,4243.71,590.4491999999999,2123.55396,6055.744947
2009-05-01,4417.94,567.91189,2143.854504,6172.4845
2009-06-01,4249.21,558.1070299999999,2046.480049,6280.290186000001
2009-07-01,4608.36,590.62375,2248.214386,6542.409511000001
2009-08-01,4908.9,626.75046,2441.872083,6926.119053
2009-09-01,5133.9,660.4760799999999,2626.4456090000003,7055.768049
2009-10-01,5044.55,630.2168399999999,2455.70685,6770.940814999999
2009-11-01,5190.68,665.79612,2551.931175,6576.463535
2009-12-01,5412.88,690.2469,2628.6818879999996,7021.819751999999
2010-01-01,5188.52,671.0801100000001,2406.123195,7058.573386000001
2010-02-01,5354.52,724.3311000000001,2437.6150979999998,7470.4786325000005
2010-03-01,5679.64,770.16684,2608.7324,7813.417227000001
2010-04-01,5553.29,777.16983,2453.203374,7716.959459999999
2010-05-01,5188.43,749.28932,2209.0630380000002,7365.599800000001
2010-06-01,4916.87,689.5383,2106.26242,7099.843688
2010-07-01,5258.02,702.2699999999999,2281.1862659999997,7031.851289999999
2010-08-01,5225.22,683.51402,2168.13047,6829.381237
2010-09-01,5548.62,726.14556,2384.3528300000003,7144.1293749999995
2010-10-01,5675.16,737.55089,2474.2878029999997,7136.0398525
2010-11-01,5528.27,758.8254000000001,2212.5162539999997,7635.124684
2010-12-01,5899.94,805.9958399999999,2394.84315,8072.663664000001
2011-01-01,5862.94,802.65501,2524.467561,7787.4738480000005
2011-02-01,5994.01,816.2280000000001,2557.812101,7990.9092935
2011-03-01,5908.76,826.90146,2571.2068029999996,7315.837245000001
2011-04-01,6069.9,816.25096,2667.3652500000003,7259.258379999999
2011-05-01,5989.99,817.61256,2503.8938080000003,7226.675715
2011-06-01,5945.71,822.8658599999999,2574.216561,7596.1812465
2011-07-01,5815.19,786.8814699999999,2340.5793049999997,7801.5260020000005
2011-08-01,5394.53,749.86728,2035.9595519999998,7191.921120000001
2011-09-01,5128.48,725.90624,1871.6740419999999,7243.861454000001
2011-10-01,5544.22,778.6752899999999,2053.67442,7143.073532999999
2011-11-01,5505.42,794.4637,1995.5472089999998,6929.875576
2011-12-01,5572.28,809.2655999999998,1929.2228400000001,7070.786437500001
2012-01-01,5681.61,832.8490400000002,2005.1028019999999,7327.209324
2012-02-01,5871.51,857.79617,2102.887281,7527.246246
2012-03-01,5768.45,879.4673999999999,2063.821968,7604.012596
2012-04-01,5737.78,861.1064,1881.124308,7351.079169
2012-05-01,5320.86,850.51573,1699.6017740000002,7076.797532
2012-06-01,5571.15,867.0403,1824.458432,7184.708406000001
2012-07-01,5635.28,879.85547,1824.9924839999996,7100.385995999999
2012-08-01,5711.48,886.43932,1934.506746,7107.2876400000005
2012-09-01,5742.07,891.0729500000001,1951.1367000000002,7041.576515999999
2012-10-01,5782.7,875.42278,2010.923648,6935.495672000001
2012-11-01,5866.82,883.85042,2090.330425,7150.1572695
2012-12-01,5897.81,878.25396,2142.2203109999996,7379.5382819999995
2013-01-01,6276.88,944.5520499999999,2314.021178,7672.309007999999
2013-02-01,6360.81,998.4902400000001,2268.5399700000003,8231.420256
2013-03-01,6411.74,1031.749,2211.261654,8652.501389
2013-04-01,6430.12,1028.37512,2298.42,9159.256288
2013-05-01,6583.09,1072.83753,2367.7652359999997,9018.880065000001
2013-06-01,6215.47,1055.82099,2225.21445,9069.430892
2013-07-01,6621.06,1108.34775,2420.47036,9182.377375999999
2013-08-01,6412.93,1052.7951,2319.695788,8794.472691
2013-09-01,6462.22,1038.66255,2417.226825,9091.97541
2013-10-01,6731.43,1094.6508,2597.019675,9080.331975000001
2013-11-01,6650.57,1103.16322,2562.2198639999997,9340.739268000001
2013-12-01,6749.09,1116.24876,2580.47,9339.808023
2014-01-01,6510.44,1084.35558,2472.351388,8890.551333
2014-02-01,6809.7,1110.277595,2595.280443,8704.287555
2014-03-01,6598.37,1123.591234,2612.43008,8617.934796000001
2014-04-01,6780.03,1116.42877,2627.797224,8286.370923
2014-05-01,6844.51,1148.178933,2639.4820999999997,8580.427632
2014-06-01,6743.94,1145.754435,2583.5604719999997,8743.98307
2014-07-01,6730.11,1143.149707,2469.976328,8997.56352
2014-08-01,6819.75,1206.830088,2509.867593,8926.210233
2014-09-01,6622.72,1216.311243,2512.9994699999997,9094.370296000001
2014-10-01,6546.47,1261.28125,2437.1068960000002,9130.974688
2014-11-01,6722.62,1320.964084,2586.114815,9400.38324
2014-12-01,6566.09,1321.8138000000001,2443.5175379999996,9358.847951
2015-01-01,6749.4,1323.675865,2509.893416,9982.495471999999
2015-02-01,6946.66,1363.2951,2609.6349,10184.723891999998
2015-03-01,6773.04,1395.4121719999998,2676.90312,10786.645584
2015-04-01,6960.63,1358.2926630000002,2642.634731,10650.117455999998
2015-05-01,6984.43,1378.022321,2565.248352,10828.55479
2015-06-01,6520.98,1312.963204,2426.4589800000003,10510.438161999999
2015-07-01,6696.28,1346.4576000000002,2531.6451389999997,10628.159412
2015-08-01,6247.94,1285.269706,2388.791678,10153.633
2015-09-01,6061.61,1268.947827,2290.1548620000003,9586.087095
2015-10-01,6361.09,1347.6332160000002,2437.8816359999996,10251.44132
2015-11-01,6356.09,1381.600281,2459.42403,10651.785318
2015-12-01,6242.32,1386.608896,2422.583664,10731.205698
